"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",기타 형법범죄,신용업무 경매,15675,3455,216,271,327,929,542,454,716,12220,216,373,505,1878,1413,1441,6394
"형법범",기타 형법범죄,주거 침입,7758,1111,80,104,115,339,149,128,196,6647,142,273,300,1043,777,748,3364
"형법범",기타 형법범죄,비밀침해,18,1,1,-,-,-,-,-,-,17,-,1,-,2,1,2,11
"형법범",기타 형법범죄,유기,31,2,-,-,-,-,-,1,1,29,2,-,-,2,4,1,20
"형법범",기타 형법범죄,교통방해,831,51,4,4,5,21,4,5,8,780,7,9,25,79,56,83,521
"형법범",기타 형법범죄,공무방해,8704,1702,61,121,103,365,260,226,566,7002,103,203,325,1078,937,878,3478
"형법범",기타 형법범죄,도주와 범인 은닉,250,8,-,-,1,-,1,2,4,242,4,4,7,38,16,40,133
"형법범",기타 형법범죄,위증과 증거인멸,257,10,-,1,1,2,2,1,3,247,2,2,5,42,28,27,141
"형법범",기타 형법범죄,무고,718,49,3,4,2,16,7,6,11,669,16,22,22,135,64,88,322
"형법범",기타 형법범죄,공안을 해하는 죄,352,75,3,8,7,21,11,10,15,277,3,10,15,64,41,42,102
"형법범",기타 형법범죄,내란의죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타 형법범죄,음용수에 관한 죄,9,-,-,-,-,-,-,-,-,9,-,-,1,1,1,-,6
"형법범",기타 형법범죄,일수와 수리에 관한 죄,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,2,1
"형법범",기타 형법범죄,기타,11,1,-,-,-,-,-,1,-,10,-,1,-,1,2,1,5
"특별법범",소계,소계,257588,77957,1483,2662,3531,12527,8166,9831,39757,179631,1626,3761,5398,22947,16752,20010,109137
"특별법범",개발제한구역의 지정 및 관리에 관한 특별조치법,소계,468,114,1,-,5,29,6,21,52,354,4,4,4,35,24,42,241
"특별법범",개인정보보호법,소계,545,19,4,2,-,6,1,1,5,526,6,6,19,51,33,50,361
"특별법범",건축법,소계,1964,174,-,6,7,39,25,14,83,1790,7,21,34,183,114,178,1253
"특별법범",게임산업진흥에관한법률,소계,3625,1003,17,53,68,251,127,142,345,2622,9,29,36,245,225,298,1780
"특별법범",경범죄처벌법,소계,4985,776,68,81,102,231,110,93,91,4209,91,162,215,851,540,480,1870
"특별법범",공유재산및물품관리법,소계,110,12,4,-,1,4,1,-,2,98,1,-,2,10,4,8,73
"특별법범",공인중개사법,소계,478,57,1,1,1,14,10,7,23,421,1,4,5,37,13,29,332
"특별법범",공중위생관리법,소계,682,226,18,21,22,90,19,25,31,456,4,3,6,30,34,47,332
"특별법범",공직선거법,소계,606,79,2,-,6,27,8,10,26,527,3,3,10,57,32,49,373
"특별법범",교통사고 처리특례법,소계,39969,9794,113,240,373,1244,994,1191,5639,30175,181,372,610,2480,2232,2712,21588
"특별법범",국민체육진흥법,소계,357,40,-,2,1,14,1,13,9,317,5,5,9,77,28,55,138
"특별법범",국토의계획및이용에관한법률,소계,1011,121,3,8,6,31,12,18,43,890,7,9,19,98,76,97,584
"특별법범",근로기준법,소계,1517,482,23,50,77,109,62,44,117,1035,20,36,68,110,116,104,581
"특별법범",근로자퇴직급여보장법,소계,282,62,3,3,5,11,7,13,20,220,2,6,10,20,15,24,143
"특별법범",농수산물의원산지표시에관한법률,소계,112,15,1,1,-,1,-,5,7,97,-,2,3,5,2,10,75
"특별법범",농지법,소계,742,111,-,4,1,20,26,20,40,631,6,9,14,60,31,53,458
"특별법범",대기환경보전법,소계,921,144,2,13,13,33,20,26,37,777,4,14,27,76,49,73,534
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,1233,261,7,7,18,80,34,31,84,972,7,29,31,164,101,158,482
"특별법범",도로교통법,소계,91604,40682,515,912,1212,3988,3525,4803,25727,50922,459,1327,1940,7131,5603,6043,28419
"특별법범",도로법,소계,1235,291,4,6,5,47,19,22,188,944,6,9,17,83,68,103,658
"특별법범",마약류관리에 관한 법률,소계,6119,2623,80,149,150,764,419,574,487,3496,41,77,138,583,382,531,1744
