"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"지능범죄",횡령,58889,1991,1035,151,22669,253,641,989,214,1425,647,348,2002,5582,311,206,91,1766,801,3277,142,950,184,759,337,72,130,57,3,-,8,930,1076,236,9606
"지능범죄",배임,4092,175,79,-,192,6,5,4,4,46,21,16,59,1778,50,44,7,-,-,-,4,4,20,66,16,19,23,1,1,-,3,4,-,6,1439
"풍속범죄",소계,22632,1884,1950,5,2287,30,67,102,24,291,213,791,736,2602,21,1,35,543,401,235,27,199,166,12,63,7,33,2,24,-,3,52,1025,246,8555
"풍속범죄",성풍속범죄,14497,1555,1156,5,2182,30,61,100,24,182,124,743,267,391,6,1,2,541,401,233,12,161,155,8,61,6,14,-,8,-,3,47,1025,91,4902
"풍속범죄",도박범죄,8135,329,794,-,105,-,6,2,-,109,89,48,469,2211,15,-,33,2,-,2,15,38,11,4,2,1,19,2,16,-,-,5,-,155,3653
"특별경제범죄",소계,47826,1471,1068,31,4856,38,500,1424,59,2092,821,664,8417,7713,497,409,39,215,33,478,53,78,97,1068,791,82,117,11,2,-,4,216,2,127,14353
"마약범죄",소계,9186,883,1982,5,1771,4,4,52,-,139,36,849,221,207,67,1,3,54,5,174,3,17,3,221,350,3,336,-,1,-,4,104,31,11,1645
"보건범죄",소계,14595,1083,638,3,983,4,75,41,5,865,475,280,3975,1041,101,1,19,11,4,4,15,20,10,3,1161,76,60,287,-,-,2,22,-,64,3267
"환경범죄",소계,3568,11,14,2,589,-,6,-,-,20,4,4,4,140,694,368,26,3,-,10,3,4,3,-,8,-,305,389,2,-,10,7,-,-,942
"교통범죄",소계,348725,114,45,4154,342058,-,1,4,1,29,59,4,19,63,31,23,2,39,1,60,3,13,6,1,11,3,49,119,3,-,4,826,-,-,980
"노동범죄",소계,356,8,8,-,23,-,-,1,-,4,1,3,53,98,13,7,-,1,-,9,-,-,1,-,2,1,2,14,-,1,-,-,-,-,106
"안보범죄",소계,216,3,7,-,42,-,-,-,-,1,-,-,1,56,-,-,-,2,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,99
"선거범죄",소계,829,17,19,-,264,-,-,-,-,3,15,1,36,181,-,-,-,13,1,1,1,9,11,1,2,35,-,-,-,-,-,4,-,-,215
"병역범죄",소계,3845,345,672,-,148,-,-,-,-,4,1,10,2,426,1,-,-,1,1,1,-,9,8,-,3,-,-,1,401,-,3,-,-,-,1808
"기타범죄",소계,241829,17930,15522,1267,43020,94,687,1925,68,3224,1548,2535,14713,23364,2210,1323,463,1919,197,1006,303,874,1493,264,2081,566,2842,24156,131,28,90,1673,212,1361,72740
