"범죄별(1)",범죄별(2),범죄별(3),나이
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21세,22세,23세,24세,25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~70세,71세이상,소계
"형법범",과실범죄,실화,2130,66,14,14,14,6,18,2060,12,21,18,28,29,41,37,171,142,166,180,229,261,266,290,169,4
"형법범",기타형법범죄,소계,121920,2652,347,502,595,500,708,111561,896,917,959,1090,1224,1345,1411,7367,7281,10313,11265,14984,15999,15254,16187,5069,7707
"형법범",기타형법범죄,명예,37641,1340,151,269,301,255,364,32343,454,444,423,467,514,554,483,2563,2291,3050,2976,3843,3996,3974,4677,1634,3958
"형법범",기타형법범죄,권리행사방해,10314,148,35,47,35,18,13,9826,14,28,37,42,54,75,74,579,805,1242,1394,1468,1417,1240,1082,275,340
"형법범",기타형법범죄,신용업무경매,30595,214,13,16,44,46,95,29187,120,102,103,120,139,170,234,1190,1453,2279,2916,4419,5046,4816,4863,1217,1194
"형법범",기타형법범죄,주거침입,16127,698,119,143,160,130,146,15220,122,144,182,180,226,221,266,1334,1122,1485,1429,1917,1968,1815,2014,795,209
"형법범",기타형법범죄,비밀침해,161,-,-,-,-,-,-,138,-,2,2,-,2,3,2,14,17,16,19,12,12,18,14,5,23
"형법범",기타형법범죄,유기,257,3,-,1,1,-,1,234,2,1,2,4,7,4,5,21,28,29,28,27,27,23,18,8,20
"형법범",기타형법범죄,교통방해,1891,1,-,-,-,-,1,1851,5,1,2,3,3,5,4,36,48,93,102,179,307,341,524,198,39
"형법범",기타형법범죄,공무방해,12901,153,12,15,33,30,63,12440,117,125,119,149,178,184,210,954,938,1301,1466,1827,1864,1523,1215,270,308
"형법범",기타형법범죄,도주와범인은닉,673,18,3,1,7,3,4,547,8,11,8,23,11,11,14,74,60,66,57,60,47,53,38,6,108
"형법범",기타형법범죄,위증과증거인멸,2982,9,-,1,-,4,4,2507,3,6,18,9,13,5,10,71,82,159,236,351,370,437,540,197,466
"형법범",기타형법범죄,무고,7580,59,14,9,13,10,13,6535,43,37,47,66,43,63,55,339,331,513,600,849,925,991,1174,459,986
"형법범",기타형법범죄,공안을해하는죄,660,6,-,-,-,4,2,632,8,15,15,26,32,49,51,186,92,75,37,22,9,7,7,1,22
"형법범",기타형법범죄,내란의죄,33,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,28
"형법범",기타형법범죄,음용수에관한죄,30,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,1,2,3,8,14,1,1
"형법범",기타형법범죄,일수와수리에관한죄,6,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,-
"형법범",기타형법범죄,기타,69,3,-,-,1,-,2,61,-,1,1,1,2,1,3,6,14,5,4,8,6,7,1,1,5
"특별법범",소계,소계,694972,13511,1022,1807,3002,3598,4082,668745,5325,5309,5951,7202,8716,9658,10264,58463,54367,68254,68148,84438,86630,82647,86916,26457,12716
"특별법범",가정폭력범죄의처벌등에관한특례법,소계,398,1,-,-,-,-,1,397,-,-,-,3,5,3,2,17,22,48,37,65,51,67,52,25,-
"특별법범",가축분뇨의관리및이용에관한법률,소계,1032,-,-,-,-,-,-,1027,-,1,-,-,-,1,-,7,19,37,58,90,166,222,311,115,5
"특별법범",감염병의예방및관리에관한법률,소계,4030,26,5,4,3,2,12,3950,52,42,35,68,75,68,59,356,297,362,326,486,491,485,575,173,54
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,941,-,-,-,-,-,-,933,-,1,-,-,-,-,-,5,14,43,39,58,114,181,325,153,8
"특별법범",개인정보보호법,소계,3209,12,1,1,5,2,3,2892,5,8,14,12,26,19,36,168,207,324,324,432,432,411,391,83,305
"특별법범",건강기능식품에관한법률,소계,251,-,-,-,-,-,-,247,-,-,-,-,1,4,2,12,19,29,31,38,35,37,32,7,4
"특별법범",건설기계관리법,소계,415,-,-,-,-,-,-,412,1,1,-,2,1,-,3,12,15,34,45,56,81,77,71,13,3
"특별법범",건설산업기본법,소계,1377,-,-,-,-,-,-,1299,-,-,-,-,1,-,1,9,34,76,116,244,305,257,233,23,78
"특별법범",건축법,소계,4224,-,-,-,-,-,-,4162,1,-,-,-,1,2,4,68,84,267,361,556,712,794,969,343,62
"특별법범",게임산업진흥에관한법률,소계,6180,67,1,7,11,20,28,6044,68,82,102,107,112,114,100,489,561,731,809,940,803,627,378,21,69
"특별법범",결혼중개업의관리에관한법률,소계,123,-,-,-,-,-,-,121,-,-,-,-,-,-,-,4,8,9,18,29,7,18,22,6,2
"특별법범",경범죄처벌법,소계,6892,88,12,21,12,20,23,6767,39,33,32,49,69,68,62,426,419,626,712,1084,1131,1071,790,156,37
"특별법범",고용보험법,소계,3175,-,-,-,-,-,-,3156,1,4,6,14,23,29,37,261,305,427,378,418,444,411,385,13,19
"특별법범",공유수면관리및매립에관한법률,소계,259,-,-,-,-,-,-,258,-,-,-,-,-,-,-,2,5,9,12,36,38,60,66,30,1
"특별법범",공유재산및물품관리법,소계,185,-,-,-,-,-,-,181,-,-,-,-,-,-,-,4,6,12,16,19,29,25,49,21,4
"특별법범",공인중개사법,소계,1610,-,-,-,-,-,-,1580,-,-,1,-,4,1,7,39,85,134,133,243,278,286,305,64,30
"특별법범",공중위생관리법,소계,1807,7,-,2,1,-,4,1788,1,-,3,8,10,11,13,192,292,238,221,200,168,166,215,50,12
"특별법범",공직선거법,소계,2327,23,-,1,-,4,18,1764,22,12,29,25,15,6,11,46,38,77,140,218,329,378,341,77,540
"특별법범",관세법,소계,933,-,-,-,-,-,-,459,-,-,-,-,2,1,7,27,49,82,57,79,53,44,49,9,474
"특별법범",교통사고처리특례법,소계,190641,2518,104,151,513,610,1140,187967,1333,1192,1522,1888,2250,2438,2656,14982,13004,15692,15640,20426,23101,25390,34249,12204,156
"특별법범",국가기술자격법,소계,257,-,-,-,-,-,-,254,-,-,-,-,-,-,-,2,12,27,34,54,36,37,45,7,3
"특별법범",국가보안법,소계,48,-,-,-,-,-,-,35,-,-,-,-,-,-,-,2,4,4,4,7,7,3,3,1,13
"특별법범",국민체육진흥법,소계,641,23,-,4,2,6,11,612,16,12,18,21,24,31,37,138,87,126,64,30,7,1,-,-,6
"특별법범",국토의계획및이용에관한법률,소계,1796,-,-,-,-,-,-,1784,-,-,-,2,-,3,1,21,24,57,148,216,313,341,491,167,12
"특별법범",근로기준법,소계,33173,-,-,-,-,-,-,32790,-,4,6,15,26,30,57,559,1367,2852,4121,6193,6615,5659,4532,754,383
"특별법범",근로자퇴직급여보장법,소계,6616,-,-,-,-,-,-,6581,-,-,1,-,1,3,3,77,229,534,804,1264,1311,1124,1001,229,35
"특별법범",낚시관리및육성법,소계,161,-,-,-,-,-,-,160,-,-,-,-,-,-,-,4,3,9,22,20,31,25,37,9,1
