"범죄별(1)",범죄별(2),범죄별(3),합계,전과없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"특별법범",교통사고처리특례법,소계,2518,1235,717,257,132,97,50,36,28,21,18,78,566
"특별법범",국민체육진흥법,소계,23,19,4,1,-,-,-,2,-,1,-,-,-
"특별법범",국토의계획및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로기준법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로자퇴직급여보장법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농수산물의원산지표시에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대기환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,8,6,2,1,-,-,1,-,-,-,-,-,-
"특별법범",도로교통법,소계,5056,2861,2052,706,346,249,156,125,92,67,48,263,143
"특별법범",도로법,소계,1,-,1,-,-,-,-,-,-,1,-,-,-
"특별법범",마약류관리에관한법률,소계,135,92,31,14,4,5,2,-,1,-,-,5,12
"특별법범",물환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",병역법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,1,-,-,-,-,-,-,-,-,-,-,-,1
"특별법범",부정수표단속법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",사행행위등규제및처벌특례법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산림자원의조성및관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산업안전보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산지관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",상표법,소계,2,-,-,-,-,-,-,-,-,-,-,-,2
"특별법범",선박안전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",선박직원법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",성매매알선등행위의처벌에관한법률,소계,88,61,13,5,2,2,1,-,2,-,1,-,14
"특별법범",수산업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",수산자원관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",식품위생법,소계,8,8,-,-,-,-,-,-,-,-,-,-,-
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,191,92,84,24,11,10,6,6,7,3,3,14,15
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,760,645,59,39,7,5,4,3,-,1,-,-,56
"특별법범",아동복지법,소계,108,85,11,6,1,1,2,-,-,1,-,-,12
"특별법범",여객자동차운수사업법,소계,5,1,3,1,-,-,-,1,-,-,-,1,1
"특별법범",여신전문금융업법,소계,89,51,31,12,3,1,3,1,1,1,-,9,7
"특별법범",예비군법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",외국환거래법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",의료법,소계,7,4,2,2,-,-,-,-,-,-,-,-,1
"특별법범",자동차관리법,소계,463,239,183,57,45,23,19,13,4,5,2,15,41
"특별법범",자동차손해배상보장법,소계,404,175,208,58,29,34,28,7,13,9,5,25,21
"특별법범",저작권법,소계,78,33,4,4,-,-,-,-,-,-,-,-,41
"특별법범",전자금융거래법,소계,125,89,28,12,7,2,-,3,-,-,-,4,8
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,840,527,66,29,10,7,2,5,3,-,2,8,247
"특별법범",조세범처벌법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",주민등록법,소계,1109,782,291,132,60,30,28,11,8,4,5,13,36
"특별법범",청소년보호법,소계,631,471,110,53,29,14,7,2,1,1,-,3,50
"특별법범",축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",출입국관리법,소계,16,14,1,-,1,-,-,-,-,-,-,-,1
"특별법범",통신비밀보호법,소계,3,-,-,-,-,-,-,-,-,-,-,-,3
"특별법범",특가법(도주차량),소계,191,63,112,27,17,7,11,11,5,2,3,29,16
"특별법범",폐기물관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",풍속영업의규제에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",화물자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",기타특별법,소계,454,305,114,48,23,12,7,5,2,3,-,14,35
