"형법범",기타형법범죄,공무방해,12901,2318,4096,4,6,6,10,25,28,16,72,16,68,4216,797,1223
"형법범",기타형법범죄,도주와범인은닉,673,216,5,-,1,2,2,5,-,2,1,1,12,131,181,114
"형법범",기타형법범죄,위증과증거인멸,2982,232,11,7,4,15,5,5,2,20,32,9,79,157,423,1981
"형법범",기타형법범죄,무고,7580,78,16,26,14,85,27,50,15,45,127,64,267,530,705,5531
"형법범",기타형법범죄,공안을해하는죄,660,47,-,-,-,-,1,-,-,-,20,-,-,413,116,63
"형법범",기타형법범죄,내란의죄,33,5,-,-,3,-,-,-,-,-,-,-,-,9,4,12
"형법범",기타형법범죄,음용수에관한죄,30,-,-,-,-,-,-,-,-,-,-,4,-,7,1,18
"형법범",기타형법범죄,일수와수리에관한죄,6,-,-,-,-,-,-,-,-,-,-,2,-,1,-,3
"형법범",기타형법범죄,기타,69,6,-,-,-,-,-,1,5,-,-,-,-,9,13,35
"특별법범",소계,소계,694972,211979,1134,29635,2903,814,848,511,5395,711,3380,639,2663,141127,98706,194527
"특별법범",가정폭력범죄의처벌등에관한특례법,소계,398,3,-,-,-,-,-,11,150,97,-,-,5,26,33,73
"특별법범",가축분뇨의관리및이용에관한법률,소계,1032,587,3,-,-,1,-,-,-,1,-,4,-,25,334,77
"특별법범",감염병의예방및관리에관한법률,소계,4030,2740,14,-,-,1,-,-,1,-,2,1,1,205,500,565
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,941,586,3,3,-,-,-,-,-,-,-,-,1,17,156,175
"특별법범",개인정보보호법,소계,3209,113,8,21,25,58,6,4,4,13,58,39,67,491,285,2017
"특별법범",건강기능식품에관한법률,소계,251,143,-,-,-,-,-,-,-,-,1,-,-,9,73,25
"특별법범",건설기계관리법,소계,415,223,-,-,1,1,-,-,-,-,-,2,1,45,73,69
"특별법범",건설산업기본법,소계,1377,499,1,4,3,-,-,-,-,-,62,-,2,111,188,507
"특별법범",건축법,소계,4224,2699,42,-,-,-,-,-,1,1,5,4,-,92,440,940
"특별법범",게임산업진흥에관한법률,소계,6180,3543,7,3,4,3,-,2,1,-,10,-,6,354,1288,959
"특별법범",결혼중개업의관리에관한법률,소계,123,27,-,-,-,-,1,-,-,-,12,-,4,10,27,42
"특별법범",경범죄처벌법,소계,6892,2215,568,3,4,9,11,46,5,8,70,112,61,2031,721,1028
"특별법범",고용보험법,소계,3175,1465,6,354,87,13,-,2,-,-,4,-,3,45,1185,11
"특별법범",공유수면관리및매립에관한법률,소계,259,126,2,-,-,-,-,-,-,-,-,-,-,12,91,28
"특별법범",공유재산및물품관리법,소계,185,117,1,-,-,-,-,-,-,-,-,-,-,7,24,36
"특별법범",공인중개사법,소계,1610,507,1,1,-,5,-,-,-,-,81,2,18,150,267,578
"특별법범",공중위생관리법,소계,1807,1269,2,1,-,-,-,-,-,-,14,-,-,58,373,90
"특별법범",공직선거법,소계,2327,727,6,5,-,2,1,-,-,-,1,-,10,242,516,817
"특별법범",관세법,소계,933,758,2,1,-,-,-,-,-,-,-,-,1,5,151,15
"특별법범",교통사고처리특례법,소계,190641,2172,7,5,16,57,210,41,151,47,112,75,249,64268,3022,120209
"특별법범",국가기술자격법,소계,257,145,-,-,-,-,-,-,-,-,7,-,-,3,25,77
"특별법범",국가보안법,소계,48,17,-,-,-,-,-,-,-,-,-,-,-,6,9,16
"특별법범",국민체육진흥법,소계,641,284,-,-,-,-,-,-,-,-,-,-,-,118,194,45
"특별법범",국토의계획및이용에관한법률,소계,1796,1140,9,-,1,-,-,-,-,-,3,3,4,47,176,413
"특별법범",근로기준법,소계,33173,702,28,21894,1737,33,1,-,-,3,4,1,15,318,8415,22
"특별법범",근로자퇴직급여보장법,소계,6616,153,3,4559,321,2,1,-,-,2,-,-,3,65,1504,3
"특별법범",낚시관리및육성법,소계,161,77,-,-,-,-,-,-,-,-,-,-,-,6,67,11
"특별법범",노동조합및노동관계조정법,소계,1058,68,-,503,38,43,-,-,-,-,-,-,-,25,380,1
"특별법범",농수산물유통및가격안정에관한법률,소계,48,23,1,-,-,-,-,-,-,-,-,-,-,6,3,15
"특별법범",농수산물의원산지표시에관한법률,소계,2093,775,-,9,6,4,-,-,-,1,300,-,-,111,881,6
"특별법범",농지법,소계,1729,1016,16,-,-,-,-,-,-,-,2,2,4,39,233,417
"특별법범",대기환경보전법,소계,2529,1437,5,7,3,-,-,-,-,-,5,-,-,57,881,134
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,2142,403,-,-,2,2,4,-,-,-,160,-,63,687,449,372
"특별법범",도로교통법,소계,13458,4150,4,-,1,3,9,2,2,-,14,19,12,4544,1409,3289
"특별법범",도로교통법(무면허운전),소계,22666,14930,7,6,6,-,21,4,7,5,5,15,16,2798,3102,1744
"특별법범",도로교통법(사고후미조치),소계,9520,1223,6,1,-,1,2,1,1,-,4,6,12,4112,470,3681
"특별법범",도로교통법(음주운전),소계,97709,65988,30,1,16,9,38,19,9,8,11,62,41,15122,13881,2474
"특별법범",도로교통법(음주측정거부),소계,3050,2120,12,-,-,-,1,-,3,1,-,2,1,350,449,111
"특별법범",도로법,소계,2341,1335,10,3,1,-,-,-,-,1,11,1,1,93,507,378
"특별법범",도시및주거환경정비법,소계,895,74,1,5,2,3,1,-,-,-,3,12,7,84,153,550
"특별법범",독점규제및공정거래에관한법률,소계,42,1,-,-,-,-,-,-,-,-,-,-,-,10,15,16
"특별법범",디자인보호법,소계,558,6,-,-,-,-,-,-,-,-,9,-,2,58,44,439
"특별법범",마약류관리에관한법률(대마),소계,2340,1494,-,2,2,-,1,3,-,-,3,-,3,62,623,147
"특별법범",마약류관리에관한법률(마약),소계,2000,1315,1,-,1,-,-,-,2,-,2,-,1,91,508,79
"특별법범",마약류관리에관한법률(향정),소계,8933,5099,2,1,1,5,9,22,6,1,30,1,42,383,2487,844
"특별법범",물환경보전법,소계,676,340,4,2,4,-,-,-,-,-,-,-,-,15,263,48
"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,97,85,-,-,-,-,-,-,-,-,-,-,-,-,12,-
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,340,31,-,1,-,-,-,-,-,-,-,-,5,92,135,76
"특별법범",변호사법,소계,586,36,-,1,2,2,1,-,-,1,28,2,28,80,91,314
"특별법범",병역법,소계,1664,1281,6,1,5,-,-,-,-,-,-,-,-,30,165,176
"특별법범",보조금관리에관한법률,소계,2756,1980,3,-,1,4,-,-,-,-,3,5,-,58,191,511
"특별법범",부동산실권리자명의등기에관한법률,소계,1045,310,1,-,2,-,4,-,1,1,17,-,5,54,149,501
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,1211,21,1,52,94,17,6,-,-,3,67,2,24,120,194,610
"특별법범",부정수표단속법,소계,663,79,-,-,-,1,-,-,-,1,71,-,4,51,132,324
"특별법범",사행행위등규제및처벌특례법,소계,433,337,-,-,-,-,-,-,-,-,-,-,1,8,63,24
"특별법범",산림자원의조성및관리에관한법률,소계,928,364,-,1,4,1,1,-,-,11,2,4,6,106,361,67
"특별법범",산업안전보건법,소계,5641,819,-,1293,134,41,-,-,1,-,1,1,4,80,3255,12
"특별법범",산지관리법,소계,2785,1120,10,10,2,1,1,-,7,31,4,4,12,121,1285,177
"특별법범",상표법,소계,3586,581,1,9,1,2,-,-,-,1,68,1,8,1002,974,938
"특별법범",석유및석유대체연료사업법,소계,711,466,2,1,-,-,-,-,-,-,4,-,4,33,81,120
"특별법범",선박안전법,소계,209,91,1,-,-,-,-,-,-,-,-,-,-,8,98,11
"특별법범",선박직원법,소계,219,51,-,-,1,2,-,-,-,-,-,-,-,9,132,24
"특별법범",성매매알선등행위의처벌에관한법률,소계,8836,4722,4,11,18,17,3,3,2,-,68,3,26,712,1935,1312
"특별법범",수도법,소계,195,121,1,-,-,-,-,-,-,-,2,-,-,11,32,28
"특별법범",수산업법,소계,1376,422,1,3,-,1,-,-,-,-,2,-,-,37,830,80
"특별법범",수산자원관리법,소계,1154,535,-,-,-,-,-,-,-,-,-,-,-,7,519,93
"특별법범",식품위생법,소계,8530,5140,18,9,8,3,-,-,-,1,32,2,3,276,1980,1058
"특별법범",신용정보의이용및보호에관한법률,소계,113,6,-,-,-,5,-,-,-,1,-,-,2,8,13,78
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,713,34,-,1,-,-,23,3,1,-,22,1,60,349,102,117
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,3000,444,-,-,1,1,50,14,1,-,3,1,34,1233,832,386
"특별법범",아동복지법,소계,7637,6,5,14,20,2,11,13,4784,248,7,24,111,659,686,1047
"특별법범",액화석유가스의안전관리및사업법,소계,140,93,-,-,-,-,-,-,-,-,-,-,-,7,14,26
"특별법범",약사법,소계,2334,1032,5,2,1,8,-,-,1,-,46,-,12,216,575,436
"특별법범",여객자동차운수사업법,소계,1211,536,-,-,1,1,-,-,-,-,16,-,2,115,396,144
"특별법범",여신전문금융업법,소계,1388,195,-,-,5,5,4,8,3,7,26,1,16,586,115,417
"특별법범",영유아보육법,소계,276,194,1,1,-,-,-,-,-,-,-,-,-,7,35,38
"특별법범",예비군법,소계,1610,1295,5,-,-,-,-,-,-,-,4,-,-,42,157,107
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,172,93,2,-,-,-,-,-,-,-,-,-,1,13,18,45
"특별법범",외국환거래법,소계,492,258,1,1,-,-,-,-,-,-,8,-,-,51,106,67
"특별법범",위험물안전관리법,소계,768,345,1,12,-,-,-,-,-,-,-,2,-,20,388,-
"특별법범",유사수신행위의규제에관한법률,소계,2844,89,-,-,1,10,9,-,-,3,161,3,179,716,482,1191
"특별법범",의료기기법,소계,423,247,5,1,3,2,-,-,-,-,2,-,3,20,80,60
"특별법범",의료법,소계,6052,2633,1,2,43,8,3,1,1,1,92,2,20,598,1233,1414
"특별법범",자동차관리법,소계,24966,14666,17,52,13,2,3,1,-,4,142,4,25,1090,4893,4054
"특별법범",자동차손해배상보장법,소계,19108,10911,1,116,38,-,2,2,1,-,4,-,4,684,6868,477
"특별법범",자본시장과금융투자업에관한법률,소계,756,75,1,-,9,50,-,-,-,-,31,-,3,128,290,169
"특별법범",저작권법,소계,7212,100,-,8,5,13,-,-,-,-,132,-,7,1416,1167,4364
"특별법범",전자금융거래법,소계,15198,2301,-,2,2,-,1,2,-,-,254,-,7,8585,2803,1241
"특별법범",전파법,소계,410,160,-,-,10,-,-,-,-,-,7,-,1,41,188,3
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,16229,271,9,59,43,203,246,210,53,89,211,90,806,2992,1393,9554
"특별법범",조세범처벌법,소계,4139,1775,6,-,3,5,1,-,-,-,8,-,5,88,326,1922
"특별법범",주민등록법,소계,2600,641,10,10,7,7,18,3,8,27,27,3,57,515,315,952
"특별법범",주차장법,소계,145,83,-,-,-,-,-,-,-,-,-,-,-,9,15,38
"특별법범",주택법,소계,1921,997,1,-,4,9,-,-,-,-,17,3,3,67,489,331
"특별법범",직업안정법,소계,412,181,1,4,3,2,-,-,-,-,7,-,2,46,78,88
"특별법범",집회및시위에관한법률,소계,526,224,12,2,-,9,-,-,-,-,6,1,3,80,33,156
"특별법범",청소년보호법,소계,9711,4990,11,1,7,1,3,-,5,2,143,1,19,1024,1516,1988
"특별법범",총포·도검·화약류등의안전관리에관한법률,소계,463,318,-,-,-,-,-,-,-,-,-,1,3,27,56,58
"특별법범",최저임금법,소계,462,10,-,283,34,-,-,-,-,-,-,-,-,3,130,2
"특별법범",축산물위생관리법,소계,342,145,-,-,-,-,-,-,-,-,3,-,-,15,154,25
"특별법범",출입국관리법,소계,3862,2078,10,24,23,7,1,8,3,-,8,-,13,258,930,499
"특별법범",통신비밀보호법,소계,367,25,-,1,3,34,1,6,20,8,-,1,13,30,48,177
"특별법범",특가법(도주차량),소계,9902,112,3,-,1,6,4,-,1,-,17,9,18,6146,202,3383
"특별법범",특허법,소계,349,3,-,2,-,1,-,-,-,-,5,-,2,84,38,214
"특별법범",폐기물관리법,소계,2930,1442,5,6,3,4,-,-,-,3,10,5,3,223,719,507
"특별법범",풍속영업의규제에관한법률,소계,112,80,-,-,-,-,-,-,-,-,-,-,1,6,14,11
"특별법범",하천법,소계,277,186,-,-,-,-,-,-,-,-,-,-,-,4,50,37
"특별법범",학교보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,442,305,-,-,1,-,-,-,-,-,-,-,-,21,55,60
"특별법범",화물자동차운수사업법,소계,2301,1269,1,8,-,-,-,-,-,-,12,-,-,128,434,449
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,21,8,-,-,-,-,-,-,-,-,-,-,-,1,8,4
"특별법범",화재예방·소방시설설치유지및안전관리에관한법률,소계,752,187,-,2,1,-,-,-,-,-,5,-,-,9,542,6
"특별법범",화학물질관리법,소계,929,447,3,1,-,-,-,2,1,-,3,-,3,36,351,82
"특별법범",기타특별법,소계,49502,17063,156,234,64,72,135,78,158,79,567,100,439,12423,9880,8054
